UPKB	ARO Accession	CARD Short Name	RM ARO Accession	Resistance Mechanism	CARD URL
A6T5M6	ARO:3003373	Kpne_acrR_MULT	ARO:0001001	antibiotic target alteration	https://card.mcmaster.ca/aro/3003373
P30898	ARO:3002999	CblA-1	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002999
P71420	ARO:3002012	CMY-1	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002012
P06107	ARO:3002835	lnuA	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002835
P00555	ARO:3002649	APH(3')-Va	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002649
P23181	ARO:3002528	AAC(3)-Ia	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002528
P32714	ARO:3003550	mdtP	ARO:0010000	antibiotic efflux	https://card.mcmaster.ca/aro/3003550
Q9S169	ARO:3001082	SHV-24	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001082
P37639	ARO:3000508	gadX	ARO:0010000	antibiotic efflux	https://card.mcmaster.ca/aro/3000508
Q51355	ARO:3002243	CARB-4	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002243
P07287	ARO:3000326	ErmE	ARO:0001001	antibiotic target alteration	https://card.mcmaster.ca/aro/3000326
Q59408	ARO:3003012	dfrA13	ARO:0001002	antibiotic target replacement	https://card.mcmaster.ca/aro/3003012
P37637	ARO:3000796	mdtF	ARO:0010000	antibiotic efflux	https://card.mcmaster.ca/aro/3000796
P50868	ARO:3002676	catB3	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002676
P0AE82	ARO:3000830	cpxA	ARO:0010000	antibiotic efflux	https://card.mcmaster.ca/aro/3000830
Q7A1J9	ARO:3000815	mgrA	ARO:0010000	antibiotic efflux	https://card.mcmaster.ca/aro/3000815
P37000	ARO:3001300	myrA	ARO:0001001	antibiotic target alteration	https://card.mcmaster.ca/aro/3001300
Q07282	ARO:3000173	tet(E)	ARO:0010000	antibiotic efflux	https://card.mcmaster.ca/aro/3000173
P52393	ARO:3003060	tsnR	ARO:0001001	antibiotic target alteration	https://card.mcmaster.ca/aro/3003060
P31141	ARO:3002690	Sliv_cmlR	ARO:0010000	antibiotic efflux	https://card.mcmaster.ca/aro/3002690
Q47744	ARO:3002921	vanR_in_vanB_cl	ARO:0001001	antibiotic target alteration	https://card.mcmaster.ca/aro/3002921
Q7A0W5	ARO:3000839	arlS	ARO:0010000	antibiotic efflux	https://card.mcmaster.ca/aro/3000839
P00557	ARO:3002655	APH(4)-Ia	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002655
P42334	ARO:3003250	bcrC	ARO:0001001	antibiotic target alteration	https://card.mcmaster.ca/aro/3003250
A8C927	ARO:3002665	npmA	ARO:0001001	antibiotic target alteration	https://card.mcmaster.ca/aro/3002665
P0A3M3	ARO:3001404	OXA-9	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001404
P14508	ARO:3002654	APH(3')-VIIa	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002654
O53044	ARO:3002015	CMY-4	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002015
P50870	ARO:3002843	vatD	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002843
P52699	ARO:3002192	IMP-1	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002192
P42332	ARO:3002987	bcrA	ARO:0010000	antibiotic efflux	https://card.mcmaster.ca/aro/3002987
P49857	ARO:3003064	ykkD	ARO:0010000	antibiotic efflux	https://card.mcmaster.ca/aro/3003064
Q9R381	ARO:3002569	AAC(6')-Iy	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002569
Q8KSA6	ARO:3001887	CTX-M-25	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001887
O08337	ARO:3001067	SHV-8	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001067
B2TTK5	ARO:3001216	mdtH	ARO:0010000	antibiotic efflux	https://card.mcmaster.ca/aro/3001216
Q5HIW0	ARO:3000026	mepA	ARO:0010000	antibiotic efflux	https://card.mcmaster.ca/aro/3000026
P76397	ARO:3000792	mdtA	ARO:0010000	antibiotic efflux	https://card.mcmaster.ca/aro/3000792
Q5U7L7	ARO:3002272	VIM-2	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002272
P24735	ARO:3002497	PDC-1	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002497
P0ABQ8	ARO:3002863	dfrA8	ARO:0001002	antibiotic target replacement	https://card.mcmaster.ca/aro/3002863
P28585	ARO:3001864	CTX-M-1	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001864
P17585	ARO:3002627	aadK	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002627
P23954	ARO:3002402	OXY-2-7	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002402
P29753	ARO:3000368	vanC	ARO:0001001	antibiotic target alteration	https://card.mcmaster.ca/aro/3000368
P26826	ARO:3002686	catP	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002686
P13246	ARO:3002533	AAC(3)-IIa	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002533
P05192	ARO:3002454	LEN-1	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002454
P52477	ARO:3000377	MexA	ARO:0010000	antibiotic efflux	https://card.mcmaster.ca/aro/3000377
Q59517	ARO:3003562	blaF	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3003562
Q5MK06	ARO:3000535	macB	ARO:0010000	antibiotic efflux	https://card.mcmaster.ca/aro/3000535
O52836	ARO:3000194	tet(W)	ARO:0001003	antibiotic target protection	https://card.mcmaster.ca/aro/3000194
P29809	ARO:3002542	AAC(3)-VIIIa	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002542
P12833	ARO:3003105	dfrA3	ARO:0001002	antibiotic target replacement	https://card.mcmaster.ca/aro/3003105
P52600	ARO:3000254	emrY	ARO:0010000	antibiotic efflux	https://card.mcmaster.ca/aro/3000254
B3U538	ARO:3001702	OXA-133	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001702
A7Z1T2	ARO:3002814	clbA	ARO:0001001	antibiotic target alteration	https://card.mcmaster.ca/aro/3002814
P10051	ARO:3002545	AAC(6')-Ia	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002545
P67919	ARO:3002995	ROB-1	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002995
Q48434	ARO:3002013	CMY-2	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002013
B6I9D0	ARO:3001329	mdtG	ARO:0010000	antibiotic efflux	https://card.mcmaster.ca/aro/3001329
P52599	ARO:3000206	emrK	ARO:0010000	antibiotic efflux	https://card.mcmaster.ca/aro/3000206
P10337	ARO:3000498	ErmF	ARO:0001001	antibiotic target alteration	https://card.mcmaster.ca/aro/3000498
P81781	ARO:3002245	CARB-6	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002245
P0A0B2	ARO:3000215	mecR1	ARO:0001002	antibiotic target replacement	https://card.mcmaster.ca/aro/3000215
P0AG05	ARO:3002601	aadA	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002601
P30845	ARO:3003576	eptA	ARO:0001001	antibiotic target alteration	https://card.mcmaster.ca/aro/3003576
Q02736	ARO:3002674	Cbut_catB	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002674
P30180	ARO:3002541	AAC(3)-VIIa	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3002541
P0ACT2	ARO:3000656	AcrS	ARO:0010000	antibiotic efflux	https://card.mcmaster.ca/aro/3000656
Q47746	ARO:3002956	vanY_in_vanB_cl	ARO:0001001	antibiotic target alteration	https://card.mcmaster.ca/aro/3002956
Q51574	ARO:3001410	OXA-15	ARO:0001004	antibiotic inactivation	https://card.mcmaster.ca/aro/3001410
